Loyalty#,Country,Province or State,City,Gender,Education,Location Code,Marital Status,LoyaltyStatus,EnrollmentType,Income_Bins,Preferred_Season,CLV_Bins
869743,Canada,Ontario,Sudbury,female,Bachelor,Suburban,Single,Star,Standard,High,Summer_Flights,Low
596179,Canada,New Brunswick,Fredericton,female,Bachelor,Suburban,Single,Star,Standard,Medium,Spring_Flights,Low
370450,Canada,Ontario,Thunder Bay,female,High School or Below,Urban,Married,Star,Standard,Low,Winter_Flights,Low
501030,Canada,British Columbia,Vancouver,male,Bachelor,Urban,Married,Star,Standard,High,Autumn_Flights,Low
878633,Canada,Ontario,Trenton,female,Doctor,Rural,Married,Star,Standard,Low,Spring_Flights,Low
285938,Canada,Quebec,Montreal,female,Bachelor,Suburban,Married,Star,Standard,High,Winter_Flights,Low
588237,Canada,Quebec,Tremblant,male,Bachelor,Rural,Married,Star,Standard,High,Autumn_Flights,Low
645280,Canada,British Columbia,West Vancouver,male,Bachelor,Suburban,Married,Star,Standard,High,Summer_Flights,Low
864324,Canada,Quebec,Quebec City,female,Bachelor,Rural,Married,Star,Standard,High,Summer_Flights,Low
124678,Canada,Nova Scotia,Halifax,male,Doctor,Urban,Married,Star,Standard,Low,Summer_Flights,Low
186015,Canada,British Columbia,Vancouver,male,Doctor,Rural,Married,Star,Standard,Low,Winter_Flights,Low
461108,Canada,Quebec,Montreal,male,Doctor,Urban,Married,Star,Standard,Low,Autumn_Flights,Low
589580,Canada,British Columbia,Whistler,male,Doctor,Suburban,Married,Star,Standard,Low,Summer_Flights,Low
623688,Canada,Ontario,London,female,Doctor,Rural,Married,Star,Standard,Low,Spring_Flights,Low
751616,Canada,Ontario,Trenton,female,Doctor,Suburban,Married,Star,2021 Promotion,Low,Summer_Flights,Low
256147,Canada,Ontario,Toronto,female,College,Suburban,Married,Star,Standard,Low,Summer_Flights,Low
329382,Canada,Quebec,Montreal,male,College,Suburban,Single,Star,2021 Promotion,Low,Non_Travel,Low
140392,Canada,British Columbia,Vancouver,female,Bachelor,Rural,Married,Star,Standard,High,Autumn_Flights,Low
541008,Canada,Ontario,London,male,Bachelor,Suburban,Divorced,Star,2021 Promotion,Medium,Summer_Flights,Low
230908,Canada,British Columbia,Vancouver,male,Doctor,Suburban,Divorced,Star,Standard,Medium,Summer_Flights,Low
972581,Canada,British Columbia,Vancouver,male,High School or Below,Rural,Married,Star,Standard,Low,Summer_Flights,Low
357549,Canada,British Columbia,Whistler,female,Bachelor,Rural,Single,Star,Standard,High,Non_Travel,Low
157729,Canada,British Columbia,Victoria,male,Bachelor,Rural,Married,Star,2021 Promotion,High,Spring_Flights,Low
910875,Canada,Quebec,Hull,female,Bachelor,Urban,Married,Star,Standard,High,Winter_Flights,Low
501704,Canada,Quebec,Hull,male,College,Suburban,Divorced,Star,Standard,Low,Spring_Flights,Low
529098,Canada,British Columbia,Vancouver,female,College,Urban,Divorced,Star,Standard,Low,Winter_Flights,Low
265297,Canada,Manitoba,Winnipeg,female,Bachelor,Urban,Married,Star,Standard,Medium,Summer_Flights,Low
567875,Canada,Quebec,Quebec City,female,Bachelor,Suburban,Married,Star,Standard,High,Summer_Flights,Low
688524,Canada,Manitoba,Winnipeg,female,Bachelor,Urban,Married,Star,Standard,High,Winter_Flights,Low
269070,Canada,British Columbia,Vancouver,male,Master,Rural,Married,Star,Standard,Low,Spring_Flights,Low
387705,Canada,Quebec,Hull,female,Master,Suburban,Married,Star,Standard,Low,Autumn_Flights,Low
923293,Canada,Saskatchewan,Regina,male,Bachelor,Suburban,Divorced,Star,Standard,High,Summer_Flights,Low
283314,Canada,Ontario,Toronto,female,Bachelor,Suburban,Married,Star,Standard,High,Non_Travel,Low
322102,Canada,British Columbia,Vancouver,male,College,Suburban,Married,Star,Standard,Low,Non_Travel,Low
789157,Canada,British Columbia,Vancouver,female,College,Rural,Single,Star,Standard,Low,Autumn_Flights,Low
654748,Canada,Ontario,Ottawa,female,Bachelor,Rural,Married,Star,Standard,Medium,Autumn_Flights,Low
984713,Canada,Ontario,Sudbury,female,College,Suburban,Single,Star,Standard,Low,Autumn_Flights,Low
114835,Canada,Ontario,Toronto,female,Master,Suburban,Divorced,Star,Standard,Low,Autumn_Flights,Low
328936,Canada,Ontario,Thunder Bay,female,Bachelor,Suburban,Married,Star,Standard,Medium,Summer_Flights,Low
845864,Canada,British Columbia,Vancouver,female,Doctor,Urban,Married,Star,Standard,Low,Spring_Flights,Low
645265,Canada,Quebec,Quebec City,male,Bachelor,Suburban,Married,Star,Standard,High,Winter_Flights,Low
223587,Canada,British Columbia,Vancouver,female,Bachelor,Rural,Married,Star,Standard,High,Autumn_Flights,Low
158560,Canada,British Columbia,Vancouver,male,Bachelor,Suburban,Married,Star,Standard,Medium,Spring_Flights,Low
417584,Canada,British Columbia,Vancouver,male,Bachelor,Suburban,Married,Star,Standard,Medium,Summer_Flights,Low
566033,Canada,Ontario,Toronto,male,College,Urban,Married,Star,Standard,Low,Non_Travel,Low
957912,Canada,Quebec,Montreal,female,Bachelor,Urban,Married,Star,2021 Promotion,High,Summer_Flights,Low
425854,Canada,Ontario,Toronto,female,High School or Below,Rural,Married,Star,Standard,Low,Summer_Flights,Low
174896,Canada,Alberta,Edmonton,female,College,Urban,Single,Star,Standard,Low,Non_Travel,Low
695855,Canada,Quebec,Montreal,female,College,Suburban,Divorced,Star,Standard,Low,Spring_Flights,Low
699511,Canada,British Columbia,West Vancouver,female,College,Rural,Divorced,Star,Standard,Low,Autumn_Flights,Low
377322,Canada,Alberta,Edmonton,female,Bachelor,Urban,Married,Star,Standard,Medium,Summer_Flights,Low
511053,Canada,Ontario,Toronto,male,Bachelor,Suburban,Married,Star,Standard,Medium,Winter_Flights,Low
890753,Canada,Quebec,Montreal,male,College,Urban,Married,Star,Standard,Low,Winter_Flights,Low
796670,Canada,Manitoba,Winnipeg,female,Bachelor,Suburban,Married,Star,Standard,Low,Summer_Flights,Low
556136,Canada,Quebec,Montreal,female,College,Rural,Married,Star,Standard,Low,Summer_Flights,Low
513081,Canada,Alberta,Edmonton,female,Bachelor,Rural,Married,Star,Standard,High,Winter_Flights,Low
930718,Canada,Quebec,Montreal,female,High School or Below,Suburban,Married,Star,Standard,Low,Summer_Flights,Low
235872,Canada,Ontario,Toronto,female,Doctor,Urban,Single,Star,Standard,Low,Summer_Flights,Low
881142,Canada,British Columbia,Vancouver,female,Doctor,Suburban,Single,Star,Standard,Low,Spring_Flights,Low
295147,Canada,British Columbia,Kelowna,male,Bachelor,Urban,Married,Star,Standard,High,Summer_Flights,Low
306110,Canada,Ontario,Toronto,male,Bachelor,Suburban,Married,Star,Standard,Medium,Winter_Flights,Low
295217,Canada,Ontario,Toronto,female,Doctor,Urban,Divorced,Star,Standard,Low,Winter_Flights,Low
711363,Canada,Ontario,Sudbury,male,College,Suburban,Married,Star,2021 Promotion,Low,Autumn_Flights,Low
591731,Canada,Ontario,Toronto,male,Bachelor,Rural,Married,Star,Standard,Medium,Spring_Flights,Low
326905,Canada,British Columbia,Vancouver,female,College,Urban,Married,Star,Standard,Low,Summer_Flights,Low
375511,Canada,Quebec,Montreal,female,Bachelor,Urban,Single,Star,Standard,Medium,Autumn_Flights,Low
485283,Canada,Ontario,Toronto,male,Bachelor,Suburban,Single,Star,Standard,High,Autumn_Flights,Low
760158,Canada,Ontario,Toronto,female,Bachelor,Suburban,Divorced,Star,2021 Promotion,Medium,Summer_Flights,Low
797685,Canada,Alberta,Edmonton,male,College,Suburban,Married,Star,Standard,Low,Autumn_Flights,Low
216467,Canada,New Brunswick,Fredericton,male,Doctor,Suburban,Married,Star,Standard,Low,Summer_Flights,Low
958839,Canada,Quebec,Montreal,male,Doctor,Rural,Married,Star,Standard,Low,Autumn_Flights,Low
539673,Canada,Ontario,Toronto,female,Bachelor,Urban,Married,Star,Standard,Medium,Winter_Flights,Low
746226,Canada,British Columbia,Whistler,female,Bachelor,Urban,Married,Star,Standard,Medium,Winter_Flights,Low
484718,Canada,British Columbia,Vancouver,male,Bachelor,Urban,Single,Star,Standard,High,Summer_Flights,Low
528492,Canada,Quebec,Hull,male,Bachelor,Suburban,Married,Star,Standard,Medium,Winter_Flights,Low
995091,Canada,British Columbia,Whistler,female,Bachelor,Suburban,Married,Star,Standard,Medium,Autumn_Flights,Low
632793,Canada,Quebec,Hull,female,High School or Below,Suburban,Single,Star,Standard,Low,Summer_Flights,Low
912220,Canada,British Columbia,Vancouver,male,High School or Below,Suburban,Single,Star,Standard,Low,Non_Travel,Low
382197,Canada,British Columbia,Vancouver,male,Bachelor,Rural,Married,Star,Standard,Medium,Spring_Flights,Low
705196,Canada,British Columbia,Whistler,female,College,Rural,Single,Star,Standard,Low,Summer_Flights,Low
123094,Canada,British Columbia,Vancouver,female,Bachelor,Urban,Married,Star,Standard,High,Summer_Flights,Low
821515,Canada,British Columbia,Dawson Creek,female,Bachelor,Rural,Married,Star,2021 Promotion,Medium,Autumn_Flights,Low
119488,Canada,Quebec,Tremblant,female,College,Suburban,Single,Star,Standard,Low,Autumn_Flights,Low
287750,Canada,Ontario,Ottawa,female,College,Rural,Single,Star,Standard,Low,Spring_Flights,Low
735846,Canada,Ontario,Trenton,male,Bachelor,Rural,Married,Star,Standard,High,Summer_Flights,Low
606026,Canada,British Columbia,Vancouver,male,Bachelor,Suburban,Single,Star,Standard,Medium,Summer_Flights,Low
460291,Canada,British Columbia,West Vancouver,female,Bachelor,Urban,Divorced,Star,Standard,Medium,Winter_Flights,Low
743001,Canada,British Columbia,Vancouver,female,Bachelor,Suburban,Married,Star,Standard,High,Summer_Flights,Low
869799,Canada,Ontario,Toronto,female,Bachelor,Urban,Married,Star,Standard,High,Autumn_Flights,Low
520321,Canada,Ontario,London,female,Doctor,Suburban,Married,Star,Standard,Medium,Non_Travel,Low
170585,Canada,Ontario,Thunder Bay,male,Bachelor,Urban,Single,Star,Standard,High,Summer_Flights,Low
188340,Canada,Ontario,Toronto,male,Bachelor,Urban,Single,Star,Standard,High,Autumn_Flights,Low
670817,Canada,Ontario,Ottawa,male,Bachelor,Rural,Single,Star,Standard,High,Summer_Flights,Low
509513,Canada,British Columbia,Vancouver,male,College,Rural,Single,Star,Standard,Low,Autumn_Flights,Low
779247,Canada,Manitoba,Winnipeg,male,Bachelor,Urban,Married,Star,Standard,High,Summer_Flights,Low
111255,Canada,Quebec,Hull,male,High School or Below,Urban,Married,Star,Standard,Medium,Summer_Flights,Low
763061,Canada,Ontario,Toronto,male,Bachelor,Urban,Married,Star,Standard,Medium,Summer_Flights,Low
509108,Canada,British Columbia,Whistler,female,College,Urban,Single,Star,2021 Promotion,Low,Summer_Flights,Low
428919,Canada,Quebec,Montreal,female,Bachelor,Suburban,Divorced,Star,Standard,Medium,Winter_Flights,Low
139863,Canada,Quebec,Montreal,male,Bachelor,Rural,Married,Star,Standard,Medium,Summer_Flights,Low
695755,Canada,British Columbia,West Vancouver,female,Bachelor,Urban,Married,Star,Standard,High,Non_Travel,Low
355331,Canada,Ontario,Thunder Bay,male,College,Suburban,Divorced,Star,Standard,Low,Spring_Flights,Low
578837,Canada,Ontario,Toronto,male,College,Rural,Single,Star,Standard,Low,Summer_Flights,Low
603248,Canada,British Columbia,Vancouver,male,College,Suburban,Married,Star,Standard,Low,Non_Travel,Low
467182,Canada,Alberta,Edmonton,female,Bachelor,Rural,Married,Star,Standard,High,Spring_Flights,Low
601407,Canada,Ontario,Toronto,male,Bachelor,Rural,Married,Star,Standard,High,Spring_Flights,Low
700871,Canada,Newfoundland,St. John's,female,Bachelor,Rural,Married,Star,Standard,High,Autumn_Flights,Low
203809,Canada,Alberta,Edmonton,female,High School or Below,Urban,Married,Star,Standard,Low,Non_Travel,Low
705589,Canada,Ontario,Toronto,female,College,Rural,Single,Star,Standard,Low,Summer_Flights,Low
354438,Canada,Quebec,Montreal,male,College,Rural,Married,Star,Standard,Low,Autumn_Flights,Low
746060,Canada,British Columbia,Victoria,male,College,Rural,Married,Star,Standard,Low,Summer_Flights,Low
469718,Canada,Ontario,Toronto,male,Bachelor,Rural,Married,Star,Standard,High,Summer_Flights,Low
164429,Canada,British Columbia,Dawson Creek,female,Bachelor,Rural,Single,Star,Standard,Medium,Spring_Flights,Low
708373,Canada,Ontario,Toronto,female,Bachelor,Suburban,Single,Star,Standard,Medium,Summer_Flights,Low
225088,Canada,British Columbia,Vancouver,male,Bachelor,Suburban,Married,Star,Standard,High,Summer_Flights,Low
100214,Canada,British Columbia,Vancouver,male,Bachelor,Suburban,Married,Star,Standard,Medium,Autumn_Flights,Low
459999,Canada,Quebec,Tremblant,male,Bachelor,Suburban,Single,Star,Standard,Medium,Autumn_Flights,Low
553936,Canada,Ontario,Toronto,female,Bachelor,Rural,Single,Star,Standard,Medium,Non_Travel,Low
268128,Canada,Ontario,Toronto,female,High School or Below,Urban,Married,Star,Standard,Low,Summer_Flights,Low
930584,Canada,British Columbia,Vancouver,male,College,Urban,Single,Star,Standard,Low,Summer_Flights,Low
327796,Canada,Quebec,Quebec City,male,College,Urban,Single,Star,Standard,Low,Autumn_Flights,Low
947467,Canada,British Columbia,Vancouver,female,Bachelor,Urban,Married,Star,Standard,Medium,Spring_Flights,Low
743510,Canada,British Columbia,Vancouver,male,College,Suburban,Single,Star,Standard,Low,Summer_Flights,Low
580324,Canada,British Columbia,Vancouver,male,Bachelor,Rural,Married,Star,Standard,Medium,Spring_Flights,Low
845613,Canada,Quebec,Montreal,male,Bachelor,Urban,Married,Star,Standard,Medium,Winter_Flights,Low
936088,Canada,Manitoba,Winnipeg,female,Bachelor,Rural,Married,Star,2021 Promotion,Medium,Autumn_Flights,Low
423324,Canada,Quebec,Montreal,male,Bachelor,Suburban,Divorced,Star,Standard,Medium,Winter_Flights,Low
101945,Canada,Nova Scotia,Halifax,male,Bachelor,Urban,Married,Star,Standard,High,Summer_Flights,Low
713636,Canada,Ontario,London,male,Doctor,Suburban,Married,Star,Standard,Low,Autumn_Flights,Low
302509,Canada,British Columbia,Dawson Creek,male,Doctor,Urban,Married,Star,Standard,Low,Autumn_Flights,Low
789421,Canada,British Columbia,Vancouver,female,College,Suburban,Single,Star,Standard,Low,Summer_Flights,Low
914255,Canada,Ontario,Toronto,male,College,Suburban,Single,Star,Standard,Low,Non_Travel,Low
242377,Canada,Ontario,Trenton,male,College,Rural,Single,Star,2021 Promotion,Low,Non_Travel,Low
404426,Canada,British Columbia,Vancouver,female,Doctor,Suburban,Married,Star,Standard,Low,Winter_Flights,Low
260106,Canada,Manitoba,Winnipeg,female,Bachelor,Rural,Single,Star,Standard,High,Spring_Flights,Low
154643,Canada,Quebec,Montreal,female,College,Suburban,Married,Star,2021 Promotion,Low,Summer_Flights,Low
438023,Canada,British Columbia,West Vancouver,male,College,Suburban,Married,Star,Standard,Low,Spring_Flights,Low
397518,Canada,Saskatchewan,Regina,male,Bachelor,Rural,Married,Star,Standard,High,Summer_Flights,Low
645742,Canada,Ontario,Kingston,male,Bachelor,Suburban,Married,Star,Standard,High,Non_Travel,Low
872932,Canada,Quebec,Montreal,male,High School or Below,Urban,Married,Star,Standard,Medium,Autumn_Flights,Low
407945,Canada,New Brunswick,Fredericton,female,Bachelor,Urban,Married,Star,Standard,High,Summer_Flights,Low
211714,Canada,British Columbia,Vancouver,female,Doctor,Suburban,Married,Star,Standard,Low,Summer_Flights,Low
410982,Canada,Ontario,Trenton,male,Master,Rural,Married,Star,Standard,Medium,Autumn_Flights,Low
905213,Canada,British Columbia,Vancouver,female,Master,Rural,Married,Star,Standard,Medium,Summer_Flights,Low
147898,Canada,Quebec,Tremblant,female,High School or Below,Suburban,Divorced,Star,Standard,Low,Summer_Flights,Low
530105,Canada,Ontario,London,male,College,Suburban,Single,Star,Standard,Low,Spring_Flights,Low
610946,Canada,Manitoba,Winnipeg,female,Bachelor,Suburban,Married,Star,Standard,Medium,Winter_Flights,Low
383108,Canada,British Columbia,Vancouver,female,Bachelor,Rural,Married,Star,Standard,Medium,Summer_Flights,Low
836343,Canada,Ontario,Toronto,female,Bachelor,Suburban,Married,Star,Standard,Medium,Summer_Flights,Low
398535,Canada,Quebec,Tremblant,female,College,Suburban,Single,Star,2021 Promotion,Low,Winter_Flights,Low
585357,Canada,Quebec,Quebec City,male,College,Urban,Single,Star,Standard,Low,Spring_Flights,Low
784804,Canada,Alberta,Banff,female,College,Rural,Single,Star,Standard,Low,Spring_Flights,Low
719633,Canada,British Columbia,Victoria,male,Bachelor,Suburban,Divorced,Star,Standard,Medium,Non_Travel,Low
715764,Canada,Manitoba,Winnipeg,male,College,Urban,Single,Star,Standard,Low,Winter_Flights,Low
753473,Canada,Ontario,Toronto,female,Doctor,Suburban,Single,Star,Standard,Low,Summer_Flights,Low
980856,Canada,Nova Scotia,Halifax,male,Doctor,Suburban,Single,Star,Standard,Low,Summer_Flights,Low
271660,Canada,British Columbia,Vancouver,male,College,Suburban,Married,Star,Standard,Low,Summer_Flights,Low
377471,Canada,British Columbia,Vancouver,female,College,Rural,Married,Star,2021 Promotion,Low,Autumn_Flights,Low
830547,Canada,British Columbia,Vancouver,male,Bachelor,Rural,Single,Star,Standard,Medium,Winter_Flights,Low
264936,Canada,British Columbia,Whistler,female,College,Rural,Single,Star,Standard,Low,Autumn_Flights,Low
436498,Canada,Quebec,Montreal,male,College,Rural,Single,Star,Standard,Low,Non_Travel,Low
976513,Canada,Quebec,Quebec City,female,Bachelor,Urban,Married,Star,Standard,High,Winter_Flights,Low
828776,Canada,Ontario,Toronto,male,Bachelor,Rural,Married,Star,Standard,Medium,Summer_Flights,Low
240362,Canada,Ontario,Toronto,male,Bachelor,Suburban,Married,Star,Standard,Medium,Autumn_Flights,Low
137845,Canada,British Columbia,Dawson Creek,female,Bachelor,Rural,Married,Star,Standard,High,Winter_Flights,Low
430569,Canada,Quebec,Montreal,male,Bachelor,Urban,Married,Star,Standard,High,Summer_Flights,Low
317001,Canada,Ontario,Trenton,male,Bachelor,Suburban,Married,Star,Standard,Medium,Winter_Flights,Low
625870,Canada,Ontario,Toronto,female,Bachelor,Rural,Married,Star,Standard,Medium,Summer_Flights,Low
660554,Canada,Alberta,Edmonton,female,Bachelor,Rural,Married,Star,Standard,Medium,Winter_Flights,Low
917630,Canada,Ontario,Toronto,female,Bachelor,Suburban,Married,Star,Standard,Medium,Winter_Flights,Low
670686,Canada,Ontario,Thunder Bay,female,College,Urban,Single,Star,Standard,Low,Winter_Flights,Low
717660,Canada,British Columbia,Vancouver,male,College,Urban,Single,Star,Standard,Low,Summer_Flights,Low
450621,Canada,Quebec,Montreal,female,Bachelor,Suburban,Married,Star,Standard,High,Winter_Flights,Low
939562,Canada,Ontario,Toronto,female,Bachelor,Urban,Married,Star,Standard,High,Summer_Flights,Low
135250,Canada,Ontario,Thunder Bay,male,Bachelor,Suburban,Married,Star,Standard,High,Summer_Flights,Low
714555,Canada,Ontario,Toronto,male,Bachelor,Suburban,Divorced,Star,Standard,Medium,Summer_Flights,Low
947868,Canada,Quebec,Tremblant,male,Bachelor,Suburban,Married,Star,Standard,High,Autumn_Flights,Low
573661,Canada,Quebec,Montreal,female,Bachelor,Suburban,Single,Star,Standard,High,Autumn_Flights,Low
228580,Canada,Ontario,Toronto,male,Bachelor,Suburban,Single,Star,Standard,Medium,Autumn_Flights,Low
557500,Canada,Ontario,Toronto,female,Bachelor,Urban,Married,Star,2021 Promotion,Medium,Autumn_Flights,Low
238233,Canada,Ontario,Toronto,male,Bachelor,Urban,Married,Star,Standard,High,Summer_Flights,Low
979309,Canada,Quebec,Montreal,male,Bachelor,Suburban,Single,Star,Standard,Medium,Summer_Flights,Low
885497,Canada,Ontario,Kingston,male,College,Urban,Single,Star,2021 Promotion,Low,Summer_Flights,Low
833569,Canada,Saskatchewan,Regina,female,College,Urban,Single,Star,Standard,Low,Summer_Flights,Low
120046,Canada,New Brunswick,Fredericton,female,Bachelor,Suburban,Married,Star,Standard,Medium,Winter_Flights,Low
816881,Canada,Quebec,Tremblant,male,Bachelor,Rural,Married,Star,Standard,Medium,Summer_Flights,Low
717700,Canada,British Columbia,West Vancouver,female,Bachelor,Suburban,Married,Star,Standard,Medium,Summer_Flights,Low
962278,Canada,Ontario,Toronto,male,Doctor,Rural,Married,Star,2021 Promotion,Low,Summer_Flights,Low
245465,Canada,Ontario,Thunder Bay,male,Doctor,Suburban,Married,Star,Standard,Low,Summer_Flights,Low
510372,Canada,Ontario,Toronto,female,College,Suburban,Divorced,Star,Standard,Low,Autumn_Flights,Low
709920,Canada,British Columbia,Dawson Creek,female,Bachelor,Rural,Married,Star,Standard,High,Spring_Flights,Low
156031,Canada,Quebec,Montreal,female,Bachelor,Urban,Married,Star,Standard,High,Non_Travel,Low
143784,Canada,Quebec,Montreal,female,Bachelor,Suburban,Married,Star,Standard,High,Summer_Flights,Low
602176,Canada,Quebec,Quebec City,female,Bachelor,Urban,Married,Star,Standard,High,Spring_Flights,Low
870998,Canada,British Columbia,Vancouver,male,Bachelor,Suburban,Married,Star,Standard,High,Autumn_Flights,Low
958224,Canada,British Columbia,Vancouver,female,Bachelor,Suburban,Married,Star,Standard,High,Summer_Flights,Low
837628,Canada,British Columbia,Vancouver,male,Bachelor,Rural,Married,Star,Standard,Medium,Summer_Flights,Low
395460,Canada,Alberta,Edmonton,male,College,Suburban,Single,Star,Standard,Low,Summer_Flights,Low
136547,Canada,Alberta,Edmonton,female,Bachelor,Urban,Married,Star,Standard,High,Summer_Flights,Low
780631,Canada,Ontario,Toronto,female,Bachelor,Rural,Married,Star,Standard,High,Winter_Flights,Low
166712,Canada,Saskatchewan,Regina,male,Master,Rural,Single,Star,Standard,Medium,Winter_Flights,Low
217695,Canada,Ontario,Trenton,male,Master,Suburban,Single,Star,Standard,Medium,Spring_Flights,Low
263707,Canada,Nova Scotia,Halifax,female,Master,Urban,Single,Star,Standard,Medium,Summer_Flights,Low
638368,Canada,Quebec,Montreal,male,Master,Urban,Single,Star,Standard,Medium,Summer_Flights,Low
695529,Canada,British Columbia,Vancouver,male,Master,Rural,Single,Star,Standard,Medium,Summer_Flights,Low
871203,Canada,Ontario,Toronto,male,Master,Rural,Single,Star,Standard,Medium,Summer_Flights,Low
915571,Canada,British Columbia,Victoria,male,Master,Rural,Single,Star,Standard,Medium,Spring_Flights,Low
642109,Canada,British Columbia,Victoria,male,Bachelor,Rural,Married,Star,Standard,High,Summer_Flights,Low
